id,organism,fasta_file,title,description,is_shown
214,69,/usr/local/i5k/media/blast/db/apimel_OGSv3.4_pep.fa,apimel_OGSv3.4_pep.fa,"Apis mellifera OGSv3.4, translated CDS",True
208,2,/usr/local/i5k/media/blast/db/athros_OGSv1.3_pep.fa,athros_OGSv1.3_pep.fa,"Athalia rosae OGS_v1.3, translated CDS",True
185,57,/usr/local/i5k/media/blast/db/cepcin_OGSv1.2_pep.fa,cepcin_OGSv1.2_pep.fa,"Cephus cinctus cepcin_OGSv1.2, translated CDS",True
236,3,/usr/local/i5k/media/blast/db/cercap_OGSv1.1_pep.fa,cercap_OGSv1.1_pep.fa,"Ceratitis capitata OGS release 1.1, translated CDS",True
206,71,/usr/local/i5k/media/blast/db/eufmex_OGSv1.3_pep.fa,eufmex_OGSv1.3_pep.fa,"Eufriesea mexicana OGSv1.3, translated CDS",True
210,16,/usr/local/i5k/media/blast/db/fraocc_OGSv1.2_pep.fa,fraocc_OGSv1.2_pep.fa,"Frankliniella occidentalis OGSv1.2, translated CDS",True
238,63,/usr/local/i5k/media/blast/db/helvir_OGSv1.1_pep.fa,helvir_OGSv1.1_pep.fa,"Heliothis virescens OGS 1.1, translated CDS",True
184,40,/usr/local/i5k/media/blast/db/hyaazt_OGSv1.3_pep.fa,hyaazt_OGSv1.3_pep.fa,"Hyalella azteca OGSv1.3, translated CDS",True
137,17,/usr/local/i5k/media/blast/db/ladful_OGSv1.0_pep.fa,ladful_OGSv1.0_pep.fa,"Ladona fulva Official Gene Set ladful OGSv1.0, translated CDS",True
187,76,/usr/local/i5k/media/blast/db/nylful_OGSv1.1_pep.fa,nylful_OGSv1.1_pep.fa,"nylful_OGSv1.1, translated CDS",True
198,20,/usr/local/i5k/media/blast/db/oruabi_OGSv1.2_pep.fa,oruabi_OGSv1.2_pep.fa,"Orussus abietinus oruabi OGSv1.2, translated CDS",True
193,125,/usr/local/i5k/media/blast/db/permai_annotations_v2023_pep.fa,permai_annotations_v2023_pep.fa,"Peregrinus maidis annotations v2023, translated CDS",True
212,32,/usr/local/i5k/media/blast/db/tigcal_OGSv1.1_pep.fa,tigcal_OGSv1.1_pep.fa,"Tigriopus californicus OGSv1.1, translated CDS",True
225,54,/usr/local/i5k/media/blast/db/tricas_OGSv3.1_trans.fa,tricas_OGSv3.1_trans.fa,"Tribolium castaneum OGSv3.1, translated CDS",True
31,37,/usr/local/i5k/media/blast/db/BGER.faa,BGER.faa,Blattella_germanica_BCM_v0.5.3_proteins,True
