id,organism,type,fasta_file,title,description,is_shown
375,26,3,/usr/local/i5k/media/blast/db/gerbue_OGSv1.1_pep.fa,gerbue_OGSv1.1_pep.fa,"Gerris buenoi OGSv1.1, proteins",True
374,26,2,/usr/local/i5k/media/blast/db/gerbue_OGSv1.1_trans.fa,gerbue_OGSv1.1_trans.fa,"Gerris buenoi OGSv1.1, RNA",True
428,36,2,/usr/local/i5k/media/blast/db/halhal_OGSv1.2_cds.fa,halhal_OGSv1.2_cds.fa,"Halyomorpha halys Official Gene Set v1.2, CDS",True
426,36,3,/usr/local/i5k/media/blast/db/halhal_OGSv1.2_pep.fa,halhal_OGSv1.2_pep.fa,"Halyomorpha halys Official Gene Set v1.2, proteins",True
427,36,2,/usr/local/i5k/media/blast/db/halhal_OGSv1.2_trans.fa,halhal_OGSv1.2_trans.fa,"Halyomorpha halys Official Gene Set v1.2, transcripts",True
886,63,2,/usr/local/i5k/media/blast/db/helvir_OGSv1.1_cds.fa,helvir_OGSv1.1_cds.fa,"Heliothis virescens OGS 1.1, CDS",True
885,63,3,/usr/local/i5k/media/blast/db/helvir_OGSv1.1_pep.fa,helvir_OGSv1.1_pep.fa,"Heliothis virescens OGS 1.1, translated CDS",True
884,63,2,/usr/local/i5k/media/blast/db/helvir_OGSv1.1_trans.fa,helvir_OGSv1.1_trans.fa,"Heliothis virescens OGS 1.1, transcripts",True
179,35,2,/usr/local/i5k/media/blast/db/hf_OGS1.0.cdna.fasta,hf_OGS1.0.cdna.fasta,"Mayetiola destructor OGS_v1.0, cDNA",True
107,35,1,/usr/local/i5k/media/blast/db/hf_scaffolds_blast_ids.fa,hf_scaffolds_blast_ids.fa,Mayetiola_destructor_scaffolds,True
686,40,2,/usr/local/i5k/media/blast/db/hyaazt_OGSv1.3_cds.fa,hyaazt_OGSv1.3_cds.fa,"Hyalella azteca OGSv1.3, CDS",True
685,40,3,/usr/local/i5k/media/blast/db/hyaazt_OGSv1.3_pep.fa,hyaazt_OGSv1.3_pep.fa,"Hyalella azteca OGSv1.3, translated CDS",True
684,40,2,/usr/local/i5k/media/blast/db/hyaazt_OGSv1.3_trans.fa,hyaazt_OGSv1.3_trans.fa,"Hyalella azteca OGSv1.3, transcripts",True
503,17,2,/usr/local/i5k/media/blast/db/ladful_OGSv1.0_cds.fa,ladful_OGSv1.0_cds.fa,"Ladona fulva Official Gene Set ladful OGSv1.0, CDS",True
500,17,3,/usr/local/i5k/media/blast/db/ladful_OGSv1.0_pep.fa,ladful_OGSv1.0_pep.fa,"Ladona fulva Official Gene Set ladful OGSv1.0, translated CDS",True
499,17,2,/usr/local/i5k/media/blast/db/ladful_OGSv1.0_trans.fa,ladful_OGSv1.0_trans.fa,"Ladona fulva Official Gene Set ladful OGSv1.0, transcripts",True
407,75,2,/usr/local/i5k/media/blast/db/laostr_OGSv1.2_cds.fna,laostr_OGSv1.2_cds.fna,"Laodelphax striatellus laostr_OGSv1.2, CDS",True
409,75,3,/usr/local/i5k/media/blast/db/laostr_OGSv1.2_pep.faa,laostr_OGSv1.2_pep.faa,"Laodelphax striatellus laostr_OGSv1.2, proteins",True
408,75,2,/usr/local/i5k/media/blast/db/laostr_OGSv1.2_trans.fna,laostr_OGSv1.2_trans.fna,"Laodelphax striatellus laostr_OGSv1.2, RNA",True
317,18,2,/usr/local/i5k/media/blast/db/lepdec_OGSv1.2_GCF_000500325.1_cds.fa,lepdec_OGSv1.2_GCF_000500325.1_cds.fa,"Leptinotarsa decemlineata OGSv1.2, CDS",True
319,18,3,/usr/local/i5k/media/blast/db/lepdec_OGSv1.2_GCF_000500325.1_pep.fa,lepdec_OGSv1.2_GCF_000500325.1_pep.fa,"Leptinotarsa decemlineata OGSv1.2, proteins",True
318,18,2,/usr/local/i5k/media/blast/db/lepdec_OGSv1.2_GCF_000500325.1_trans.fa,lepdec_OGSv1.2_GCF_000500325.1_trans.fa,"Leptinotarsa decemlineata OGSv1.2, transcripts",True
222,60,2,/usr/local/i5k/media/blast/db/locust.OGS_preQC.gff3.cds,locust.OGS_preQC.gff3.cds,"Locusta migratoria JAMg OGS v1, CDS",True
223,60,2,/usr/local/i5k/media/blast/db/locust.OGS_preQC.gff3.mRNA.fa,locust.OGS_preQC.gff3.mRNA,"Locusta migratoria JAMg OGS v1, mRNA",True
221,60,3,/usr/local/i5k/media/blast/db/locust.OGS_preQC.gff3.pep,locust.OGS_preQC.gff3.pep,"Locusta migratoria JAMg OGS v1, proteins",True
215,58,2,/usr/local/i5k/media/blast/db/nicves_OGSv1.0_cds.fa,nicves_OGSv1.0_cds.fa,Nicrophorus vespilloides Official Gene Set v1.0 CDS (Cunningham et al. 2015 Genome Biology and Evolution),True
216,58,3,/usr/local/i5k/media/blast/db/nicves_OGSv1.0_pep.fa,nicves_OGSv1.0_pep.fa,Nicrophorus vespilloides Official Gene Set v1.0 proteins (Cunningham et al. 2015 Genome Biology and Evolution),True
214,58,2,/usr/local/i5k/media/blast/db/nicves_OGSv1.0_trans.fa,nicves_OGSv1.0_trans.fa,Nicrophorus vespilloides Official Gene Set v1.0 cDNA (Cunningham et al. 2015 Genome Biology and Evolution),True
708,76,2,/usr/local/i5k/media/blast/db/nylful_OGSv1.1_cds.fa,nylful_OGSv1.1_cds.fa,"Nylanderia fulva nylful_OGSv1.1, CDS",True
